Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
1,59,Yes,6,0,32
5,81,No,4,4,66
4,43,No,6,7,24
8,97,Yes,6,3,92
3,55,Yes,5,2,35
2,43,Yes,7,8,21
3,77,Yes,6,1,56
8,54,No,4,4,47
1,76,No,7,3,52
7,55,No,7,3,45
6,86,No,9,5,74
5,46,Yes,7,9,33
8,73,Yes,4,7,67
2,40,No,8,1,17
5,71,No,8,0,56
2,97,No,4,4,73
9,44,Yes,9,7,40
4,69,No,7,2,52
6,55,No,8,3,44
3,41,No,5,8,19
6,80,Yes,5,5,69
5,50,Yes,8,3,36
1,79,No,7,4,54
2,68,Yes,7,9,46
5,54,Yes,6,8,39
7,95,No,9,6,85
5,51,Yes,8,8,38
4,64,Yes,9,4,48
1,71,Yes,8,1,46
7,57,Yes,8,6,49
6,46,No,4,7,34
9,84,No,7,4,81
4,45,Yes,4,8,28
7,53,No,6,6,43
1,43,No,7,7,17
6,55,No,8,6,44
3,90,Yes,4,5,70
4,58,Yes,7,1,43
9,43,No,7,4,40
1,90,No,4,6,62
2,80,Yes,4,1,56
2,88,No,4,8,67
3,49,No,4,1,27
8,54,Yes,5,4,48
7,43,Yes,4,1,32
9,50,No,9,3,48
9,50,No,6,5,47
9,47,No,8,9,46
3,90,Yes,8,6,71
3,83,No,8,0,63
6,83,Yes,4,7,71
2,89,No,9,0,67
3,53,Yes,8,1,33
8,41,Yes,9,1,35
2,81,No,9,2,59
3,75,Yes,9,4,58
3,59,No,4,2,38
4,98,No,5,1,79
9,45,Yes,6,8,44
8,87,Yes,8,4,84
5,75,No,7,5,61
4,84,No,4,6,67
1,81,Yes,4,9,57
6,74,Yes,8,1,63
2,67,No,5,5,42
7,67,No,9,3,59
1,50,Yes,8,5,25
6,75,No,7,7,64
7,41,Yes,4,2,33
6,59,No,5,9,47
8,41,No,9,1,35
4,50,Yes,6,9,35
1,71,No,7,8,45
6,94,No,6,5,83
3,61,Yes,8,7,44
8,56,No,7,4,50
8,75,No,8,9,71
1,91,Yes,9,7,66
4,53,No,7,1,35
3,97,Yes,4,2,77
3,48,No,6,9,28
5,51,Yes,7,1,37
6,95,Yes,6,7,83
6,43,No,7,1,30
4,96,Yes,8,9,79
7,64,Yes,9,0,57
5,44,Yes,9,2,31
3,46,Yes,7,4,26
5,78,Yes,8,3,62
4,98,Yes,4,9,82
9,81,Yes,9,5,78
2,58,Yes,6,1,36
7,82,Yes,6,9,74
7,42,No,8,3,35
9,57,No,4,4,54
6,59,No,8,2,48
3,68,No,6,6,48
2,94,No,7,5,73
8,62,Yes,8,3,58
6,70,No,5,7,59
6,60,No,7,3,46
4,41,No,4,9,24
6,43,No,8,6,30
6,96,Yes,6,4,82
8,46,No,6,0,40
1,58,No,4,6,33
4,83,Yes,7,7,65
4,40,No,5,4,23
7,58,Yes,4,1,48
8,84,No,7,3,77
4,53,No,6,7,36
7,83,Yes,5,5,74
2,78,Yes,8,2,57
7,96,Yes,8,2,87
2,83,Yes,6,0,59
2,40,No,9,2,18
4,71,No,9,7,55
5,47,Yes,8,7,34
3,57,Yes,7,2,36
5,84,Yes,4,7,70
9,68,No,9,3,66
8,71,Yes,8,7,65
7,87,Yes,9,7,82
8,97,Yes,5,7,91
8,49,No,9,8,45
5,73,Yes,9,3,62
4,56,Yes,9,9,40
8,67,Yes,5,9,61
7,77,No,9,8,70
8,89,No,5,3,83
1,94,Yes,5,1,69
7,41,No,6,5,31
7,88,No,7,6,82
8,60,No,7,9,55
2,43,Yes,4,0,17
9,83,Yes,4,8,82
3,73,No,6,7,54
8,48,No,9,3,41
4,46,No,9,1,29
5,69,Yes,9,7,57
6,83,Yes,6,6,72
9,54,Yes,6,7,51
2,95,Yes,9,6,75
7,84,No,4,3,73
1,92,Yes,6,7,67
3,58,No,4,7,35
4,79,No,6,6,64
6,80,Yes,9,1,71
3,54,No,5,0,31
8,85,Yes,8,9,82
9,90,Yes,4,9,90
9,94,Yes,6,9,94
7,74,Yes,8,2,67
4,42,No,8,9,27
8,49,Yes,6,3,42
8,51,Yes,9,0,43
1,52,No,9,1,27
9,63,No,4,8,59
2,96,No,9,3,75
2,55,No,4,7,31
1,71,Yes,4,1,44
2,76,No,7,1,53
2,95,Yes,7,5,74
7,86,No,6,0,77
1,51,No,8,3,24
4,99,No,4,9,82
9,40,No,8,2,36
2,61,Yes,7,6,39
8,81,Yes,5,0,73
1,45,Yes,4,5,18
8,59,No,5,3,53
3,60,No,7,7,40
6,45,Yes,8,3,36
6,67,No,5,4,55
3,88,No,9,0,68
5,90,No,8,0,77
3,80,Yes,8,0,61
8,83,Yes,6,6,78
6,58,Yes,9,3,48
5,71,No,5,5,55
4,84,No,8,8,67
9,88,No,6,7,84
7,87,Yes,4,7,78
3,62,No,5,2,40
2,71,Yes,4,2,49
2,53,Yes,6,8,29
6,60,No,6,3,47
2,40,Yes,5,6,17
8,94,No,9,1,90
8,91,No,6,9,87
3,50,No,5,8,29
7,75,Yes,4,1,66
7,93,Yes,6,3,86
1,65,No,4,5,38
6,47,Yes,8,4,35
3,58,No,8,1,39
4,69,No,5,7,54
1,97,Yes,6,4,72
5,67,No,9,9,53
4,92,No,4,8,75
7,57,No,9,3,49
5,85,No,6,1,70
1,55,No,5,4,28
6,57,Yes,6,7,45
7,94,No,4,0,83
9,56,No,5,7,52
6,89,Yes,8,4,80
5,70,No,8,2,55
1,56,No,4,9,31
6,97,Yes,8,1,88
1,84,No,6,8,60
6,47,No,9,5,35
6,77,Yes,4,2,66
6,62,Yes,8,5,49
8,71,No,9,1,66
5,88,No,6,6,73
3,78,No,8,2,61
6,84,Yes,8,4,74
1,42,No,8,9,17
1,52,No,7,6,25
8,85,Yes,6,1,79
8,45,No,5,6,39
1,86,Yes,5,4,60
4,92,Yes,4,7,75
8,46,No,6,0,40
4,69,Yes,5,1,52
2,60,Yes,5,9,38
2,44,No,4,1,17
7,90,No,4,8,83
2,69,Yes,5,7,47
5,75,No,9,3,62
5,94,No,8,3,81
7,52,Yes,8,6,46
5,53,No,9,5,39
6,76,Yes,9,9,67
8,52,No,6,2,45
9,97,Yes,9,3,95
4,83,No,4,1,65
6,46,Yes,4,5,35
8,87,Yes,4,5,80
8,46,Yes,8,7,42
6,89,Yes,6,5,79
6,59,Yes,7,4,47
3,77,No,7,3,58
9,79,Yes,8,6,79
7,71,No,5,5,63
1,78,No,9,9,53
4,61,Yes,4,0,43
7,90,Yes,7,2,83
9,41,Yes,5,2,37
7,92,No,4,7,83
9,82,No,5,8,80
3,62,No,4,6,42
7,93,No,9,0,86
9,53,No,6,7,51
6,75,No,4,2,62
2,89,No,4,7,65
4,81,Yes,5,4,62
2,67,No,9,6,45
4,55,Yes,5,8,38
5,54,No,8,6,41
3,79,Yes,9,2,61
7,89,No,4,6,80
4,70,Yes,9,1,55
6,42,Yes,6,8,31
4,87,Yes,9,2,72
9,72,Yes,5,2,67
6,65,No,8,1,53
2,55,Yes,6,3,31
4,55,Yes,5,5,36
7,59,No,9,4,52
4,93,No,6,5,74
2,40,Yes,4,8,16
8,81,No,4,3,73
7,43,No,4,2,32
5,54,No,8,8,41
8,90,Yes,7,7,88
7,47,No,8,1,39
4,99,No,6,8,81
1,66,No,8,2,40
1,70,Yes,8,9,47
2,69,No,5,4,45
2,54,No,8,8,33
8,40,No,9,8,35
1,92,Yes,6,7,67
6,55,Yes,4,4,42
6,77,Yes,8,4,67
9,49,No,9,3,46
2,76,Yes,5,6,53
9,51,Yes,4,7,47
2,59,No,6,5,38
8,88,No,5,7,82
7,91,No,5,1,80
1,83,Yes,7,6,59
3,41,Yes,4,1,17
6,56,No,4,9,44
2,64,No,4,0,40
8,75,No,4,9,69
6,70,No,4,9,61
4,51,No,5,9,35
1,62,No,5,5,35
3,78,No,4,2,54
6,54,Yes,5,5,41
2,76,No,9,5,54
5,97,Yes,7,5,83
4,44,Yes,6,9,28
7,78,No,8,5,68
3,59,Yes,8,9,41
1,49,Yes,4,5,21
8,63,Yes,4,8,59
9,56,Yes,8,3,55
6,84,No,9,5,75
9,63,Yes,5,9,58
9,82,No,7,6,80
4,60,Yes,8,4,43
7,54,Yes,7,7,46
6,60,Yes,6,2,47
5,41,Yes,5,7,26
3,43,No,6,8,22
3,99,Yes,6,8,79
5,99,Yes,8,9,88
4,80,No,9,0,63
7,84,No,6,3,74
4,57,Yes,8,1,39
6,64,No,7,1,53
6,93,Yes,5,7,82
4,87,No,8,8,70
6,93,Yes,5,9,82
7,73,No,8,3,64
8,56,No,7,0,48
3,63,Yes,6,5,42
6,42,Yes,8,5,30
4,54,Yes,9,7,38
1,89,Yes,8,5,65
4,78,Yes,9,2,63
8,76,Yes,5,4,71
7,91,No,9,2,84
9,43,Yes,4,6,40
9,70,No,4,7,66
9,72,Yes,7,5,69
6,78,Yes,5,6,68
4,48,Yes,4,3,30
1,67,Yes,4,6,43
6,70,No,7,1,59
7,92,No,9,7,86
7,62,Yes,4,9,55
6,55,Yes,6,4,44
1,87,Yes,7,5,63
4,67,Yes,6,1,49
8,80,Yes,9,7,74
3,99,No,5,1,77
6,52,No,6,4,41
6,84,Yes,4,7,72
4,92,No,8,8,77
1,95,No,6,9,71
5,70,Yes,8,0,57
4,74,Yes,4,9,58
1,69,Yes,7,2,46
8,92,Yes,4,5,86
2,89,No,8,1,67
9,87,No,5,9,84
2,82,Yes,6,6,60
3,49,No,4,7,28
4,80,No,5,0,63
5,51,No,7,1,36
2,60,Yes,9,1,35
2,88,No,8,8,69
6,75,No,8,9,64
5,72,No,7,3,56
5,98,Yes,6,2,83
7,62,Yes,8,4,54
9,82,No,8,8,81
5,41,Yes,4,8,25
6,99,Yes,5,6,89
3,78,Yes,5,5,58
1,76,No,9,7,52
6,87,Yes,4,2,73
7,40,No,6,1,31
9,57,Yes,8,3,54
5,97,No,9,4,85
5,59,Yes,9,0,43
3,73,No,8,6,55
3,81,No,6,2,60
4,63,No,9,3,46
5,94,Yes,4,0,79
7,75,Yes,8,4,68
3,46,No,4,9,25
9,49,No,7,5,46
7,40,Yes,8,6,31
2,89,Yes,5,5,66
9,84,No,9,3,83
4,91,Yes,8,9,76
7,87,Yes,7,9,80
9,92,Yes,9,5,91
9,71,No,7,5,68
4,60,Yes,7,8,44
4,80,No,7,8,68
4,81,No,8,1,62
2,40,Yes,5,9,17
2,83,Yes,8,4,61
2,94,No,6,0,72
2,86,Yes,6,2,64
7,97,No,7,7,91
3,70,Yes,7,1,48
7,74,Yes,9,4,67
7,96,No,9,6,87
6,89,No,5,5,77
8,44,No,8,2,40
7,89,Yes,5,7,80
8,75,Yes,8,2,69
7,66,No,4,5,57
1,54,No,7,7,29
7,44,No,5,2,33
3,91,No,7,7,74
7,50,Yes,5,0,41
7,45,No,7,5,36
3,86,Yes,9,0,66
2,98,No,8,8,78
6,66,No,9,8,57
1,90,No,7,7,65
6,69,No,5,5,59
1,74,No,4,0,47
2,81,No,9,4,60
9,76,Yes,6,5,73
9,71,Yes,5,0,65
6,74,Yes,8,6,62
3,71,No,4,5,51
8,62,No,4,3,56
2,72,Yes,9,8,50
1,64,Yes,8,0,37
8,63,Yes,8,3,59
4,78,No,4,6,60
9,85,Yes,5,0,81
1,52,No,5,8,25
9,62,No,9,1,59
3,75,No,6,9,56
6,55,No,4,6,42
3,55,Yes,8,5,36
3,81,No,8,8,62
2,94,Yes,6,8,72
8,95,No,7,6,90
7,50,No,6,8,41
9,51,No,7,1,46
6,67,Yes,5,0,56
4,40,No,6,2,23
4,95,No,9,8,78
8,82,No,9,5,78
9,63,Yes,9,6,64
1,86,No,6,9,62
7,64,Yes,6,9,56
5,99,No,4,7,84
8,68,No,5,1,62
4,56,No,6,9,41
7,99,No,6,6,90
8,83,No,4,4,75
7,99,Yes,4,3,87
9,75,Yes,7,9,73
7,91,Yes,4,9,84
6,90,No,6,3,80
3,42,No,9,4,23
6,52,No,4,4,39
3,40,Yes,7,3,19
8,87,No,7,6,82
9,89,Yes,9,3,87
7,93,Yes,6,4,86
6,70,No,8,1,59
8,48,No,9,4,41
3,69,Yes,6,7,50
3,98,No,7,2,75
2,97,Yes,5,9,75
9,76,No,5,9,72
7,55,Yes,4,5,45
1,76,Yes,7,3,53
3,63,Yes,9,9,46
6,48,Yes,4,0,37
3,62,No,7,0,42
8,74,No,7,7,68
6,46,No,6,2,35
8,69,Yes,4,5,62
9,74,Yes,8,4,72
4,96,No,7,9,78
8,72,Yes,7,8,67
6,92,Yes,5,3,80
3,67,Yes,5,3,47
9,42,Yes,7,1,39
4,57,Yes,4,1,40
2,92,Yes,5,3,67
2,66,No,7,4,44
7,40,No,7,6,31
7,45,No,9,7,39
9,50,Yes,6,2,46
6,73,Yes,4,8,62
8,78,No,8,1,73
8,60,No,5,2,50
1,95,No,8,4,71
1,52,Yes,6,3,25
2,77,Yes,8,5,55
1,91,Yes,6,3,65
7,40,No,8,2,30
5,78,Yes,6,6,64
5,71,Yes,5,0,56
9,88,No,8,8,85
6,43,No,4,5,29
1,48,No,9,5,24
8,45,No,9,0,40
7,93,Yes,4,6,85
8,74,No,5,5,67
6,57,No,8,8,47
1,99,No,6,1,73
7,54,No,6,7,44
2,56,Yes,5,3,32
7,82,No,4,4,71
2,54,No,8,0,31
2,58,No,8,4,34
4,65,No,5,2,46
2,61,No,9,0,40
9,62,No,6,7,57
3,52,Yes,4,7,33
4,67,Yes,7,1,48
6,96,No,6,6,85
8,76,No,9,4,74
6,83,Yes,6,7,72
1,72,No,6,4,44
6,83,Yes,7,1,71
7,84,Yes,7,6,77
4,75,Yes,8,9,59
9,58,Yes,4,2,55
7,72,Yes,9,4,63
1,83,No,4,5,55
7,86,No,5,7,78
9,50,No,9,9,49
8,81,No,6,2,73
6,41,Yes,7,8,30
3,65,Yes,6,6,44
7,56,No,4,0,46
3,56,No,9,3,37
2,69,Yes,9,1,47
3,79,No,6,0,57
4,63,Yes,5,9,47
6,43,No,8,9,31
5,77,No,9,1,65
5,68,Yes,8,9,54
1,91,No,6,2,64
4,45,No,9,9,29
7,85,No,6,7,76
2,52,Yes,4,5,27
6,70,No,7,4,58
2,87,Yes,7,3,65
1,94,Yes,6,3,68
7,52,No,8,5,44
9,46,No,8,5,44
2,78,No,8,4,56
1,78,No,7,8,52
6,97,Yes,5,4,86
3,81,No,6,6,62
2,44,Yes,5,1,19
7,40,Yes,8,9,30
1,77,No,6,5,52
2,54,Yes,4,7,32
7,69,No,6,1,60
5,71,No,5,8,57
8,53,No,5,2,48
5,67,Yes,6,1,52
5,63,No,5,5,49
2,68,Yes,9,6,45
4,73,No,7,9,57
2,69,No,8,3,46
1,55,Yes,7,4,28
4,42,No,4,9,25
8,97,No,9,7,94
9,83,Yes,7,3,81
5,64,No,7,3,49
1,80,No,6,3,54
1,83,No,5,3,56
3,43,Yes,6,1,22
1,46,Yes,5,0,19
7,85,Yes,8,0,77
8,48,No,8,2,41
6,59,No,8,0,49
4,40,Yes,8,5,24
8,93,Yes,5,1,88
1,66,No,8,2,40
9,60,Yes,8,1,58
6,63,Yes,9,3,51
7,74,Yes,5,7,66
7,60,No,5,8,55
1,99,Yes,9,3,75
9,52,Yes,7,7,49
1,46,No,8,1,21
2,63,Yes,7,6,41
5,82,No,5,2,68
2,52,No,6,1,27
7,78,No,5,0,67
3,91,Yes,6,7,74
7,61,Yes,8,0,53
6,51,Yes,9,3,40
3,97,No,7,1,78
7,83,Yes,5,9,76
3,98,Yes,7,4,77
6,66,Yes,4,9,56
7,62,Yes,8,0,54
3,69,No,6,2,49
7,74,No,8,1,65
7,64,Yes,4,8,55
7,71,No,4,1,62
9,63,No,7,9,60
7,75,Yes,6,1,66
2,81,Yes,4,9,60
6,70,No,9,2,59
2,71,No,6,7,49
3,59,Yes,6,3,39
8,98,Yes,8,2,93
4,79,No,8,5,65
6,57,Yes,6,5,43
2,85,Yes,9,5,63
7,74,No,9,8,69
7,42,No,6,3,34
7,43,Yes,9,6,39
1,44,No,4,8,18
6,68,No,9,7,58
6,41,No,8,5,28
8,66,No,7,2,61
8,72,No,4,6,65
8,60,No,5,3,53
9,70,No,9,3,68
8,92,No,7,5,85
4,88,Yes,4,6,71
2,64,No,6,3,41
2,44,Yes,4,0,18
2,59,Yes,6,2,37
1,68,No,7,8,40
2,48,Yes,6,2,27
4,67,No,7,8,48
2,66,No,4,5,42
8,47,Yes,8,6,42
7,67,No,8,3,60
8,87,No,5,3,80
5,69,No,7,6,56
6,61,Yes,6,1,49
2,59,No,8,3,35
5,42,No,6,2,25
6,44,No,5,1,31
7,65,No,8,3,55
8,96,Yes,8,5,92
7,52,Yes,6,9,44
5,54,No,4,9,39
6,65,No,4,0,51
4,87,Yes,8,9,73
5,48,No,5,3,31
8,82,No,8,5,78
8,45,Yes,9,9,40
3,42,No,8,9,22
5,53,No,7,0,40
8,63,No,5,8,59
3,83,Yes,9,1,64
9,54,Yes,7,3,52
6,76,Yes,4,3,66
6,83,Yes,6,9,72
2,42,Yes,6,8,20
4,73,No,7,4,54
3,92,No,8,0,73
9,78,Yes,6,7,78
2,82,No,9,2,60
2,85,Yes,4,7,63
9,71,No,4,6,67
4,82,No,6,6,64
4,87,No,5,2,68
2,96,No,8,2,73
1,86,Yes,5,0,60
8,79,Yes,8,6,74
6,42,No,4,9,26
1,85,Yes,7,8,60
9,50,No,5,8,46
8,61,No,6,9,56
8,61,Yes,9,3,57
2,57,Yes,7,5,34
9,95,Yes,4,5,91
8,84,No,4,6,76
7,90,Yes,8,9,83
4,48,Yes,7,8,32
5,62,No,5,9,48
2,63,Yes,6,9,41
3,79,Yes,4,9,58
7,46,No,9,8,41
9,56,Yes,5,9,55
5,94,No,5,9,80
2,41,No,6,5,18
5,74,Yes,4,2,59
7,67,No,5,8,60
9,58,Yes,7,2,54
7,77,No,7,6,68
1,94,Yes,8,4,70
5,74,Yes,7,1,60
9,57,No,7,1,54
4,50,Yes,9,3,35
2,49,Yes,6,0,26
1,56,Yes,8,9,32
1,65,No,8,9,41
1,70,Yes,4,0,43
4,71,Yes,5,1,55
6,60,Yes,9,1,49
1,99,Yes,4,3,73
7,57,No,8,9,50
6,54,No,9,7,45
8,40,No,7,7,34
5,90,No,5,5,76
6,81,No,4,7,67
7,84,No,7,0,75
7,85,No,9,5,76
1,50,Yes,4,2,22
3,63,No,4,2,40
6,91,Yes,9,1,81
1,73,Yes,9,1,49
7,43,Yes,4,3,32
5,49,Yes,5,0,33
6,41,Yes,7,8,30
4,77,Yes,6,5,59
6,67,No,6,7,56
4,40,No,9,4,25
4,48,No,7,7,31
3,44,No,6,9,24
8,81,Yes,5,1,74
3,97,Yes,7,1,76
2,60,No,6,6,38
8,47,No,6,7,40
3,56,No,4,5,34
1,88,Yes,7,4,64
5,79,No,9,8,66
1,46,No,8,5,20
7,46,No,7,8,37
6,54,No,7,2,41
7,46,No,5,0,36
4,86,No,8,4,68
6,61,No,6,0,49
3,89,No,9,3,69
6,55,Yes,7,0,44
8,77,Yes,7,9,71
9,77,No,4,4,72
7,80,No,8,0,72
2,98,Yes,6,7,75
2,43,Yes,7,8,21
2,61,No,8,7,40
2,97,Yes,7,9,75
6,76,No,9,9,68
4,61,Yes,8,0,44
3,52,No,6,7,33
5,76,Yes,8,5,63
6,76,Yes,4,0,63
4,84,No,8,6,67
4,79,No,5,2,63
5,84,No,9,2,72
8,92,No,5,7,86
9,79,Yes,6,9,77
4,94,No,5,9,77
4,48,No,4,6,30
1,71,Yes,6,7,45
3,90,Yes,9,9,70
1,91,Yes,5,6,64
9,88,Yes,6,2,84
4,69,Yes,8,6,55
2,97,No,7,0,74
4,42,Yes,9,2,24
6,90,Yes,5,0,80
7,97,No,9,9,91
9,65,No,8,8,64
5,69,No,5,4,55
8,96,No,7,0,92
3,57,Yes,5,7,36
8,95,No,9,2,93
5,42,Yes,7,3,29
3,79,Yes,5,5,59
9,68,No,5,2,64
9,90,No,8,2,87
7,64,Yes,7,0,56
6,53,Yes,6,9,42
2,77,Yes,6,7,55
9,47,Yes,8,7,46
1,75,No,5,3,48
4,55,Yes,6,3,37
1,53,Yes,6,1,26
2,64,No,7,1,41
7,43,No,4,4,33
1,96,No,8,3,70
2,60,Yes,5,4,36
2,83,Yes,9,7,64
5,64,No,8,8,51
7,49,Yes,4,5,38
8,91,No,8,4,86
1,68,No,4,4,41
7,49,Yes,8,9,43
2,88,Yes,5,6,64
3,61,Yes,6,3,41
7,65,Yes,6,7,59
9,48,No,5,3,42
4,70,No,5,4,52
2,63,Yes,5,8,41
6,48,No,7,4,36
6,62,Yes,4,8,48
5,75,Yes,9,6,64
6,93,Yes,5,5,80
8,67,No,7,9,64
8,96,No,8,3,92
5,81,No,7,9,67
7,81,Yes,9,6,74
6,56,Yes,7,0,44
6,63,No,9,9,50
5,54,Yes,6,2,38
9,83,No,7,3,81
6,59,Yes,6,5,47
9,43,No,7,7,41
9,44,Yes,4,4,39
9,92,Yes,9,4,91
3,47,No,7,3,25
1,61,Yes,7,6,37
8,81,Yes,9,4,74
5,61,No,4,7,47
7,49,No,9,0,40
6,54,No,4,7,41
6,47,Yes,8,4,35
5,70,No,7,8,56
7,61,No,8,5,54
4,47,No,4,8,26
7,43,No,8,2,34
8,69,No,6,0,63
1,57,No,6,3,32
1,92,Yes,4,6,65
1,68,No,8,1,41
6,83,No,5,0,70
8,46,Yes,8,8,42
3,90,No,5,9,70
8,95,No,9,4,92
4,63,No,4,8,47
2,58,No,9,7,37
9,98,Yes,7,4,98
2,89,No,6,9,68
7,95,Yes,6,5,87
7,67,Yes,7,6,59
1,80,Yes,5,4,53
5,93,No,4,2,77
8,73,No,5,4,68
1,49,No,7,9,24
5,80,No,8,9,68
6,65,No,7,7,54
8,69,Yes,9,4,63
5,59,Yes,9,0,43
4,47,Yes,9,8,31
4,99,Yes,6,1,82
5,54,Yes,6,6,40
7,44,No,6,6,36
6,74,No,6,9,64
5,96,No,4,1,80
9,78,No,9,3,76
3,73,Yes,4,6,52
4,99,No,9,5,85
7,54,Yes,8,6,47
1,95,Yes,6,6,70
9,40,No,9,3,36
1,67,No,9,4,40
9,40,Yes,5,3,36
9,90,No,7,3,86
9,80,No,7,8,79
7,51,No,4,0,41
6,44,Yes,8,0,29
2,53,No,6,5,28
9,87,Yes,8,5,84
8,75,Yes,6,1,69
2,54,Yes,8,1,31
6,58,Yes,9,8,49
1,44,No,5,5,16
2,82,No,9,2,60
3,78,No,9,3,60
9,44,No,9,9,42
9,91,No,7,0,89
3,75,No,7,4,56
3,57,Yes,5,6,36
9,68,No,8,2,65
5,44,Yes,5,3,30
7,64,Yes,6,8,56
9,49,Yes,8,9,47
7,63,No,9,6,56
2,89,Yes,4,3,67
5,60,No,9,0,47
6,64,No,5,5,51
2,86,No,6,5,63
9,83,Yes,6,5,81
8,89,Yes,8,2,84
8,62,Yes,6,1,57
3,52,No,7,4,33
7,70,Yes,4,4,60
1,80,No,9,0,54
5,95,No,8,8,82
5,89,No,6,0,75
1,77,Yes,7,4,53
7,61,No,8,0,53
1,54,No,9,6,31
1,42,Yes,8,9,17
6,93,Yes,8,1,83
6,45,No,8,2,34
6,65,Yes,5,4,52
3,40,No,8,8,20
6,58,No,7,4,47
3,46,No,7,7,26
8,59,No,8,7,56
5,69,Yes,6,3,55
7,70,No,9,4,62
9,57,No,4,1,54
4,80,Yes,5,1,62
3,40,Yes,7,9,20
3,98,No,6,5,79
3,61,Yes,8,6,44
7,55,No,4,3,43
9,41,No,6,9,40
1,94,Yes,9,9,70
2,65,Yes,9,5,41
8,44,No,7,8,38
3,73,No,8,1,53
8,89,Yes,6,0,84
6,64,Yes,8,8,53
9,87,Yes,7,2,86
5,93,Yes,4,9,79
5,69,Yes,8,5,56
8,90,Yes,4,1,85
7,90,Yes,6,8,81
2,69,Yes,5,2,46
5,50,No,7,3,34
5,53,No,7,9,39
2,55,No,9,1,32
8,89,Yes,4,6,84
3,43,Yes,6,5,24
9,93,No,8,9,93
8,53,Yes,8,0,47
2,44,No,5,0,19
5,70,No,5,6,56
2,94,No,9,5,74
1,49,No,6,8,25
1,66,Yes,5,9,43
3,55,No,9,0,35
5,69,No,9,9,57
9,60,No,8,8,59
3,84,No,9,0,66
5,98,Yes,6,5,83
5,93,No,7,5,79
8,93,No,4,6,87
8,69,No,7,0,62
8,65,No,8,7,61
2,68,No,6,4,45
7,64,Yes,8,6,57
9,65,No,7,8,63
2,76,No,6,1,53
2,73,No,7,8,51
9,42,No,5,9,39
4,97,Yes,9,3,81
3,93,Yes,9,1,74
5,44,Yes,7,5,31
2,88,Yes,8,5,65
9,47,Yes,4,2,45
3,80,No,8,8,60
2,52,Yes,8,2,30
9,95,No,5,6,91
4,58,No,6,0,40
3,67,Yes,5,1,46
1,71,Yes,6,0,45
2,93,No,8,4,69
4,42,Yes,7,2,23
9,71,Yes,8,9,69
8,47,No,6,2,40
4,53,No,6,8,35
9,95,No,6,0,92
3,68,No,9,0,49
7,81,No,6,8,71
5,97,No,6,4,82
6,57,Yes,8,6,46
2,42,No,8,8,21
2,77,No,5,7,53
4,48,No,6,8,31
6,79,Yes,4,2,68
5,82,Yes,4,7,70
4,47,Yes,7,0,30
6,88,Yes,7,6,77
7,68,No,6,9,60
2,40,No,5,1,16
5,60,No,8,4,45
2,48,Yes,6,7,25
7,95,No,7,2,87
9,81,No,6,8,76
5,61,Yes,6,1,45
7,48,Yes,6,3,38
9,47,Yes,4,0,43
9,81,Yes,7,9,78
2,75,Yes,8,2,53
8,83,Yes,4,0,74
3,76,Yes,7,4,56
1,69,No,8,5,45
6,64,No,6,3,53
2,80,No,9,2,58
7,48,No,8,9,42
1,41,No,7,3,13
6,43,No,5,5,30
6,53,Yes,4,4,40
8,52,No,4,1,43
8,63,No,9,0,58
6,71,No,9,8,62
1,96,No,8,0,71
8,92,No,5,5,85
5,70,No,5,3,56
3,51,No,5,7,31
2,64,Yes,6,9,41
6,86,Yes,4,2,74
4,90,Yes,8,3,73
1,47,Yes,9,3,24
8,82,Yes,9,6,78
2,45,Yes,6,3,20
7,82,Yes,9,7,75
4,92,No,4,8,75
9,77,No,7,0,73
6,76,No,6,4,66
3,41,Yes,6,1,21
3,74,No,9,5,54
7,85,Yes,7,5,77
7,92,Yes,8,0,84
3,87,No,9,5,68
9,46,Yes,4,4,41
8,61,No,4,6,54
4,71,Yes,8,9,55
3,98,Yes,8,3,80
5,66,No,5,3,51
6,99,Yes,8,5,90
3,83,No,5,5,61
5,90,Yes,5,9,76
2,81,Yes,5,9,60
2,48,No,9,9,26
9,73,No,7,0,68
1,48,Yes,6,9,22
2,54,No,5,7,31
5,47,No,8,4,34
6,97,No,7,0,86
8,58,No,9,6,54
1,81,No,5,2,55
8,47,No,7,7,40
8,57,Yes,6,0,51
9,74,No,9,9,73
7,67,No,9,9,61
5,85,Yes,6,1,70
4,86,No,6,9,69
8,93,No,5,8,87
1,90,No,7,5,64
1,64,No,8,5,38
5,96,Yes,5,7,81
5,42,Yes,6,3,27
9,89,Yes,5,3,86
4,99,No,4,9,82
3,74,Yes,9,6,55
4,58,Yes,4,5,39
7,90,Yes,7,5,80
8,82,No,8,3,77
1,85,No,9,6,62
7,47,No,5,3,38
9,46,Yes,8,3,42
7,40,Yes,6,4,32
9,64,No,9,7,63
1,72,Yes,4,1,44
1,44,No,9,1,17
4,44,No,5,6,26
9,56,Yes,7,4,53
7,92,No,9,9,87
7,97,No,8,4,88
5,47,No,8,1,35
6,73,Yes,7,9,62
5,79,No,8,0,63
9,40,Yes,5,0,37
3,68,No,6,7,48
3,75,No,4,2,55
7,76,Yes,6,8,69
6,68,No,4,5,55
3,44,No,6,3,22
5,71,Yes,4,6,57
2,91,Yes,7,1,68
6,63,No,9,8,51
